B,cv,L2error
401.0,0.06230178733480541,0.13152393286342026
655.3121071685631,0.047398581576787197,0.04863355873487973
1070.9076254406536,0.04627534802131546,0.03517628392075621
1750.0716523950057,0.04623051623354738,0.03456724978658787
2859.9579606656876,0.046625182927748796,0.03976700099856817
4673.728373110571,0.047320318639193136,0.04770837967945714
7637.782515003957,0.048681662370975216,0.06087139743979771
12481.624324195654,0.05130258015911878,0.0792207264750413
20397.405328616063,0.05653850226918349,0.10879105129556124
33333.333333333336,0.06701304240496525,0.15065299488053724
