B,cv,L2error
1526.0,0.0001915338009960819,0.0018701651070729553
2149.6528701447623,0.00019152414843877697,0.001873016042118009
3028.183133762523,0.00019213699394525055,0.0020317331378911143
4265.755284938775,0.00019747497398573622,0.003052508069738001
6009.104253999887,0.00019854594928990073,0.003219877076014096
8464.933293977694,0.0002085337817170794,0.004470486164565821
11924.422117289063,0.00021003738638801685,0.004652780698729375
16797.751133190104,0.00022743205446013666,0.006219572342447134
23662.735213263113,0.00026002139423433104,0.008464395862048344
33333.333333333336,0.00026749433029422335,0.008916169404599114
