B,cv,L2error
401.0,0.06370209602140414,0.1366867954493955
655.3121071685631,0.04799958496144299,0.05431738260129492
1070.9076254406536,0.0474483081369786,0.04871057721178653
1750.0716523950057,0.04652637912558805,0.0380434656263256
2859.9579606656876,0.046831490555801235,0.04221124744828011
4673.728373110571,0.047639838005353666,0.05077043485496774
7637.782515003957,0.04886209572888856,0.062231930444941706
12481.624324195654,0.05111708123092529,0.0789046659693487
20397.405328616063,0.05663401414563287,0.10813077491970334
33333.333333333336,0.07003923940714743,0.1577655840858686
