B,cv,L2error
1526.0,0.0001910098589581743,0.0017195076807904944
2149.6528701447623,0.0001921392614016235,0.002018575764162321
3028.183133762523,0.00019388048040067796,0.0024796601154629975
4265.755284938775,0.00019620238052201838,0.002898925518967147
6009.104253999887,0.0001993977312662559,0.0034103713655453016
8464.933293977694,0.0002053933138865515,0.004188010095752835
11924.422117289063,0.00021256384126165073,0.004937006084583596
16797.751133190104,0.00022591435799170805,0.006118891486593783
23662.735213263113,0.0002459315918248622,0.007761678861697129
33333.333333333336,0.0002809942801096032,0.010131465837660683
