B,cv,L2error
36.0,0.0017889996034471773,0.014013412433702147
76.89924634393253,0.0016149023275810277,0.004875755698838025
164.2637246740228,0.0015956954533922266,0.0024076682383941048
350.8821285855439,0.0015964773240513398,0.002505659257244057
749.5158678828649,0.0016017509009312323,0.0034682783228566784
1601.0334823058568,0.0016165743916809043,0.0049857711128828
3419.951893353393,0.0016477711933966914,0.0076097048857750125
7305.325642538366,0.00171828817305806,0.011015567676952784
15604.834339116796,0.001891079375155637,0.017143411593943628
33333.333333333336,0.0023885785749890934,0.02828831618886476
