B,cv,L2error
1526.0,0.00019096202262096763,0.0017085671404113937
2149.6528701447623,0.00019222432337119772,0.002068472263043902
3028.183133762523,0.00019409939076219562,0.0024935130511355196
4265.755284938775,0.00019591526445514944,0.002854805231849069
6009.104253999887,0.0001999831249954352,0.003455231012031443
8464.933293977694,0.0002057638034112831,0.0042539004732088815
11924.422117289063,0.00021478327721450747,0.005254110204877207
16797.751133190104,0.00022436674619400599,0.006041315429061766
23662.735213263113,0.0002451513745337155,0.0076333038187992
33333.333333333336,0.00028047481484101894,0.010010730567406837
