B,cv,L2error
401.0,0.0582106573951618,0.11530620928598452
655.3121071685631,0.04748285098699728,0.04960838384866318
1070.9076254406536,0.046390527525209745,0.036980802933600336
1750.0716523950057,0.04626025051102621,0.035093778942622895
2859.9579606656876,0.04672295250747709,0.04088147207209321
4673.728373110571,0.04733584754603291,0.047948791456410116
7637.782515003957,0.04864597673782315,0.06038133530391232
12481.624324195654,0.05114850321679091,0.07814227874805234
20397.405328616063,0.056782154629442305,0.1092174209456586
33333.333333333336,0.06764375248492345,0.15230585187300227
