it,L2error
1,2.827338876032176e-08
2,7.26808963987924e-11
3,8.3296694657741e-11
4,8.52157300581448e-11
5,8.4790798682669e-11
6,8.47907986827116e-11
7,8.479079868270394e-11
8,8.47907986826795e-11
9,8.47907986826719e-11
